,action,episode,reward,step
226,"2,1,1,1,1,1",1,23,227.0
227,"2,1,1,1,1,1",1,32,228.0
228,"0,0,0,0,0,0",1,32,229.0
229,"0,0,0,0,0,0",1,29,230.0
230,"1,1,1,1,1,1",1,20,231.0
231,"1,1,1,1,1,1",1,32,232.0
232,"2,0,0,0,0,0",1,33,233.0
233,"2,0,0,0,0,0",1,24,234.0
234,"0,1,1,1,1,1",1,21,235.0
235,"0,1,1,1,1,1",1,34,236.0
236,"1,0,0,0,0,0",1,26,237.0
237,"1,0,0,0,0,0",1,23,238.0
238,"2,1,1,1,1,1",1,20,239.0
239,"2,1,1,1,1,1",1,29,240.0
240,"0,0,0,0,0,0",1,33,241.0
241,"0,0,0,0,0,0",1,26,242.0
242,"1,1,1,1,1,1",1,26,243.0
243,"1,1,1,1,1,1",1,41,244.0
244,"2,0,0,0,0,0",1,32,245.0
245,"2,0,0,0,0,0",1,25,246.0
246,"0,1,1,1,1,1",1,22,247.0
247,"0,1,1,1,1,1",1,40,248.0
248,"1,0,0,0,0,0",1,32,249.0
249,"1,0,0,0,0,0",1,27,250.0
250,"2,1,1,1,1,1",1,23,251.0
251,"2,1,1,1,1,1",1,39,252.0
252,"0,0,0,0,0,0",1,29,253.0
253,"0,0,0,0,0,0",1,30,254.0
254,"1,1,1,1,1,1",1,25,255.0
255,"1,1,1,1,1,1",1,40,256.0
256,"2,0,0,0,0,0",1,32,257.0
257,"2,0,0,0,0,0",1,31,258.0
258,"0,1,1,1,1,1",1,22,259.0
259,"0,1,1,1,1,1",1,33,260.0
260,"1,0,0,0,0,0",1,39,261.0
261,"1,0,0,0,0,0",1,35,262.0
262,"2,1,1,1,1,1",1,24,263.0
263,"2,1,1,1,1,1",1,43,264.0
264,"0,0,0,0,0,0",1,34,265.0
265,"0,0,0,0,0,0",1,27,266.0
266,"1,1,1,1,1,1",1,24,267.0
267,"1,1,1,1,1,1",1,37,268.0
268,"2,0,0,0,0,0",1,38,269.0
269,"2,0,0,0,0,0",1,25,270.0
270,"0,1,1,1,1,1",1,24,271.0
271,"0,1,1,1,1,1",1,42,272.0
272,"1,0,0,0,0,0",1,33,273.0
273,"1,0,0,0,0,0",1,34,274.0
274,"2,1,1,1,1,1",1,24,275.0
275,"2,1,1,1,1,1",1,35,276.0
276,"0,0,0,0,0,0",1,37,277.0
277,"0,0,0,0,0,0",1,33,278.0
278,"1,1,1,1,1,1",1,26,279.0
279,"1,1,1,1,1,1",1,42,280.0
280,"2,0,0,0,0,0",1,43,281.0
281,"2,0,0,0,0,0",1,36,282.0
282,"0,1,1,1,1,1",1,22,283.0
283,"0,1,1,1,1,1",1,40,284.0
284,"1,0,0,0,0,0",1,37,285.0
285,"1,0,0,0,0,0",1,26,286.0
286,"2,1,1,1,1,1",1,27,287.0
287,"2,1,1,1,1,1",1,36,288.0
288,"0,0,0,0,0,0",1,36,289.0
289,"0,0,0,0,0,0",1,35,290.0
290,"1,1,1,1,1,1",1,34,291.0
291,"1,1,1,1,1,1",1,38,292.0
292,"2,0,0,0,0,0",1,41,293.0
293,"2,0,0,0,0,0",1,28,294.0
294,"0,1,1,1,1,1",1,30,295.0
295,"0,1,1,1,1,1",1,42,296.0
296,"1,0,0,0,0,0",1,41,297.0
297,"1,0,0,0,0,0",1,34,298.0
298,"2,1,1,1,1,1",1,40,299.0
299,"2,1,1,1,1,1",1,41,300.0
300,"0,0,0,0,0,0",1,34,301.0
301,"0,0,0,0,0,0",1,30,302.0
302,"1,1,1,1,1,1",1,33,303.0
303,"1,1,1,1,1,1",1,35,304.0
304,"2,0,0,0,0,0",1,40,305.0
305,"2,0,0,0,0,0",1,25,306.0
306,"0,1,1,1,1,1",1,37,307.0
307,"0,1,1,1,1,1",1,37,308.0
308,"1,0,0,0,0,0",1,39,309.0
309,"1,0,0,0,0,0",1,32,310.0
310,"2,1,1,1,1,1",1,32,311.0
311,"2,1,1,1,1,1",1,37,312.0
312,"0,0,0,0,0,0",1,43,313.0
313,"0,0,0,0,0,0",1,37,314.0
314,"1,1,1,1,1,1",1,26,315.0
315,"1,1,1,1,1,1",1,40,316.0
316,"2,0,0,0,0,0",1,40,317.0
317,"2,0,0,0,0,0",1,39,318.0
318,"0,1,1,1,1,1",1,30,319.0
319,"0,1,1,1,1,1",1,41,320.0
320,"1,0,0,0,0,0",1,39,321.0
321,"1,0,0,0,0,0",1,26,322.0
322,"2,1,1,1,1,1",1,31,323.0
323,"2,1,1,1,1,1",1,40,324.0
324,"0,0,0,0,0,0",1,38,325.0
325,"0,0,0,0,0,0",1,33,326.0
326,"1,1,1,1,1,1",1,31,327.0
327,"1,1,1,1,1,1",1,38,328.0
328,"2,0,0,0,0,0",1,41,329.0
329,"2,0,0,0,0,0",1,43,330.0
330,"0,1,1,1,1,1",1,30,331.0
331,"0,1,1,1,1,1",1,44,332.0
332,"1,0,0,0,0,0",1,41,333.0
333,"1,0,0,0,0,0",1,38,334.0
334,"2,1,1,1,1,1",1,29,335.0
335,"2,1,1,1,1,1",1,40,336.0
336,"0,0,0,0,0,0",1,41,337.0
337,"0,0,0,0,0,0",1,37,338.0
338,"1,1,1,1,1,1",1,33,339.0
339,"1,1,1,1,1,1",1,38,340.0
340,"2,0,0,0,0,0",1,36,341.0
341,"2,0,0,0,0,0",1,29,342.0
342,"0,1,1,1,1,1",1,28,343.0
343,"0,1,1,1,1,1",1,32,344.0
344,"1,0,0,0,0,0",1,34,345.0
345,"1,0,0,0,0,0",1,25,346.0
346,"2,1,1,1,1,1",1,30,347.0
347,"2,1,1,1,1,1",1,31,348.0
348,"0,0,0,0,0,0",1,33,349.0
349,"0,0,0,0,0,0",1,33,350.0
350,"1,1,1,1,1,1",1,32,351.0
351,"1,1,1,1,1,1",1,31,352.0
352,"2,0,0,0,0,0",1,38,353.0
353,"2,0,0,0,0,0",1,22,354.0
354,"0,1,1,1,1,1",1,31,355.0
355,"0,1,1,1,1,1",1,30,356.0
356,"1,0,0,0,0,0",1,29,357.0
357,"1,0,0,0,0,0",1,29,358.0
358,"2,1,1,1,1,1",1,29,359.0
359,"2,1,1,1,1,1",1,30,360.0
360,"0,0,0,0,0,0",1,40,361.0
361,"0,0,0,0,0,0",1,32,362.0
362,"1,1,1,1,1,1",1,29,363.0
363,"1,1,1,1,1,1",1,31,364.0
364,"2,0,0,0,0,0",1,33,365.0
365,"2,0,0,0,0,0",1,41,366.0
366,"0,1,1,1,1,1",1,27,367.0
367,"0,1,1,1,1,1",1,27,368.0
368,"1,0,0,0,0,0",1,38,369.0
369,"1,0,0,0,0,0",1,48,370.0
370,"2,1,1,1,1,1",1,24,371.0
371,"2,1,1,1,1,1",1,36,372.0
372,"0,0,0,0,0,0",1,39,373.0
373,"0,0,0,0,0,0",1,38,374.0
374,"1,1,1,1,1,1",1,34,375.0
375,"1,1,1,1,1,1",1,36,376.0
376,"2,0,0,0,0,0",1,40,377.0
377,"2,0,0,0,0,0",1,38,378.0
378,"0,1,1,1,1,1",1,24,379.0
379,"0,1,1,1,1,1",1,29,380.0
380,"1,0,0,0,0,0",1,38,381.0
381,"1,0,0,0,0,0",1,38,382.0
382,"2,1,1,1,1,1",1,20,383.0
383,"2,1,1,1,1,1",1,35,384.0
384,"0,0,0,0,0,0",1,38,385.0
385,"0,0,0,0,0,0",1,39,386.0
386,"1,1,1,1,1,1",1,29,387.0
387,"1,1,1,1,1,1",1,33,388.0
388,"2,0,0,0,0,0",1,41,389.0
389,"2,0,0,0,0,0",1,37,390.0
390,"0,1,1,1,1,1",1,31,391.0
391,"0,1,1,1,1,1",1,32,392.0
392,"1,0,0,0,0,0",1,41,393.0
393,"1,0,0,0,0,0",1,40,394.0
394,"2,1,1,1,1,1",1,32,395.0
395,"2,1,1,1,1,1",1,34,396.0
396,"0,0,0,0,0,0",1,43,397.0
397,"0,0,0,0,0,0",1,34,398.0
398,"1,1,1,1,1,1",1,27,399.0
399,"1,1,1,1,1,1",1,38,400.0
400,"2,0,0,0,0,0",1,45,401.0
401,"2,0,0,0,0,0",1,42,402.0
402,"0,1,1,1,1,1",1,31,403.0
403,"0,1,1,1,1,1",1,40,404.0
404,"1,0,0,0,0,0",1,46,405.0
405,"1,0,0,0,0,0",1,40,406.0
406,"2,1,1,1,1,1",1,36,407.0
407,"2,1,1,1,1,1",1,43,408.0
408,"0,0,0,0,0,0",1,48,409.0
409,"0,0,0,0,0,0",1,42,410.0
410,"1,1,1,1,1,1",1,32,411.0
411,"1,1,1,1,1,1",1,43,412.0
412,"2,0,0,0,0,0",1,51,413.0
413,"2,0,0,0,0,0",1,42,414.0
414,"0,1,1,1,1,1",1,34,415.0
415,"0,1,1,1,1,1",1,43,416.0
416,"1,0,0,0,0,0",1,46,417.0
417,"1,0,0,0,0,0",1,45,418.0
418,"2,1,1,1,1,1",1,30,419.0
419,"2,1,1,1,1,1",1,39,420.0
420,"0,0,0,0,0,0",1,46,421.0
421,"0,0,0,0,0,0",1,47,422.0
422,"1,1,1,1,1,1",1,31,423.0
423,"1,1,1,1,1,1",1,42,424.0
424,"2,0,0,0,0,0",1,50,425.0
425,"2,0,0,0,0,0",1,43,426.0
426,"0,1,1,1,1,1",1,33,427.0
427,"0,1,1,1,1,1",1,42,428.0
428,"1,0,0,0,0,0",1,47,429.0
429,"1,0,0,0,0,0",1,49,430.0
430,"2,1,1,1,1,1",1,34,431.0
431,"2,1,1,1,1,1",1,42,432.0
432,"0,0,0,0,0,0",1,51,433.0
433,"0,0,0,0,0,0",1,41,434.0
434,"1,1,1,1,1,1",1,32,435.0
435,"1,1,1,1,1,1",1,43,436.0
436,"2,0,0,0,0,0",1,44,437.0
437,"2,0,0,0,0,0",1,41,438.0
438,"0,1,1,1,1,1",1,33,439.0
439,"0,1,1,1,1,1",1,43,440.0
440,"1,0,0,0,0,0",1,50,441.0
441,"1,0,0,0,0,0",1,49,442.0
442,"2,1,1,1,1,1",1,32,443.0
443,"2,1,1,1,1,1",1,46,444.0
444,"0,0,0,0,0,0",1,50,445.0
445,"0,0,0,0,0,0",1,50,446.0
446,"1,1,1,1,1,1",1,32,447.0
447,"1,1,1,1,1,1",1,47,448.0
448,"2,0,0,0,0,0",1,51,449.0
449,"2,0,0,0,0,0",1,38,450.0
450,"0,1,1,1,1,1",1,32,451.0
451,"0,1,1,1,1,1",1,42,452.0
452,"1,0,0,0,0,0",1,51,453.0
453,"1,0,0,0,0,0",1,35,454.0
454,"2,1,1,1,1,1",1,28,455.0
455,"2,1,1,1,1,1",1,44,456.0
456,"0,0,0,0,0,0",1,49,457.0
457,"0,0,0,0,0,0",1,42,458.0
458,"1,1,1,1,1,1",1,34,459.0
459,"1,1,1,1,1,1",1,45,460.0
460,"2,0,0,0,0,0",1,47,461.0
461,"2,0,0,0,0,0",1,44,462.0
462,"0,1,1,1,1,1",1,31,463.0
463,"0,1,1,1,1,1",1,45,464.0
464,"1,0,0,0,0,0",1,43,465.0
465,"1,0,0,0,0,0",1,36,466.0
466,"2,1,1,1,1,1",1,34,467.0
467,"2,1,1,1,1,1",1,42,468.0
468,"0,0,0,0,0,0",1,48,469.0
469,"0,0,0,0,0,0",1,47,470.0
470,"1,1,1,1,1,1",1,28,471.0
471,"1,1,1,1,1,1",1,43,472.0
472,"2,0,0,0,0,0",1,46,473.0
473,"2,0,0,0,0,0",1,44,474.0
474,"0,1,1,1,1,1",1,27,475.0
475,"0,1,1,1,1,1",1,48,476.0
476,"1,0,0,0,0,0",1,45,477.0
477,"1,0,0,0,0,0",1,44,478.0
478,"2,1,1,1,1,1",1,31,479.0
479,"2,1,1,1,1,1",1,38,480.0
480,"0,0,0,0,0,0",1,49,481.0
481,"0,0,0,0,0,0",1,41,482.0
482,"1,1,1,1,1,1",1,33,483.0
483,"1,1,1,1,1,1",1,40,484.0
484,"2,0,0,0,0,0",1,44,485.0
485,"2,0,0,0,0,0",1,47,486.0
486,"0,1,1,1,1,1",1,35,487.0
487,"0,1,1,1,1,1",1,39,488.0
488,"1,0,0,0,0,0",1,49,489.0
489,"1,0,0,0,0,0",1,43,490.0
490,"2,1,1,1,1,1",1,34,491.0
491,"2,1,1,1,1,1",1,39,492.0
492,"0,0,0,0,0,0",1,48,493.0
493,"0,0,0,0,0,0",1,42,494.0
494,"1,1,1,1,1,1",1,32,495.0
495,"1,1,1,1,1,1",1,40,496.0
496,"2,0,0,0,0,0",1,50,497.0
497,"2,0,0,0,0,0",1,41,498.0
498,"0,1,1,1,1,1",1,31,499.0
499,"0,1,1,1,1,1",1,41,500.0
500,"1,0,0,0,0,0",1,45,501.0
501,"1,0,0,0,0,0",1,49,502.0
502,"2,1,1,1,1,1",1,35,503.0
503,"2,1,1,1,1,1",1,41,504.0
504,"0,0,0,0,0,0",1,48,505.0
505,"0,0,0,0,0,0",1,40,506.0
506,"1,1,1,1,1,1",1,30,507.0
507,"1,1,1,1,1,1",1,43,508.0
508,"2,0,0,0,0,0",1,45,509.0
509,"2,0,0,0,0,0",1,50,510.0
510,"0,1,1,1,1,1",1,31,511.0
511,"0,1,1,1,1,1",1,44,512.0
512,"1,0,0,0,0,0",1,44,513.0
513,"1,0,0,0,0,0",1,45,514.0
514,"2,1,1,1,1,1",1,27,515.0
515,"2,1,1,1,1,1",1,42,516.0
516,"0,0,0,0,0,0",1,46,517.0
517,"0,0,0,0,0,0",1,43,518.0
518,"1,1,1,1,1,1",1,24,519.0
519,"1,1,1,1,1,1",1,33,520.0
520,"2,0,0,0,0,0",1,40,521.0
521,"2,0,0,0,0,0",1,32,522.0
522,"0,1,1,1,1,1",1,33,523.0
523,"0,1,1,1,1,1",1,33,524.0
524,"1,0,0,0,0,0",1,41,525.0
525,"1,0,0,0,0,0",1,37,526.0
526,"2,1,1,1,1,1",1,29,527.0
527,"2,1,1,1,1,1",1,35,528.0
528,"0,0,0,0,0,0",1,39,529.0
529,"0,0,0,0,0,0",1,39,530.0
530,"1,1,1,1,1,1",1,27,531.0
531,"1,1,1,1,1,1",1,34,532.0
532,"2,0,0,0,0,0",1,43,533.0
533,"2,0,0,0,0,0",1,40,534.0
534,"0,1,1,1,1,1",1,22,535.0
535,"0,1,1,1,1,1",1,36,536.0
536,"1,0,0,0,0,0",1,38,537.0
537,"1,0,0,0,0,0",1,41,538.0
538,"2,1,1,1,1,1",1,23,539.0
539,"2,1,1,1,1,1",1,25,540.0
540,"0,0,0,0,0,0",1,39,541.0
541,"0,0,0,0,0,0",1,39,542.0
542,"1,1,1,1,1,1",1,25,543.0
543,"1,1,1,1,1,1",1,31,544.0
544,"2,0,0,0,0,0",1,39,545.0
545,"2,0,0,0,0,0",1,45,546.0
546,"0,1,1,1,1,1",1,25,547.0
547,"0,1,1,1,1,1",1,28,548.0
548,"1,0,0,0,0,0",1,44,549.0
549,"1,0,0,0,0,0",1,38,550.0
550,"2,1,1,1,1,1",1,26,551.0
551,"2,1,1,1,1,1",1,29,552.0
552,"0,0,0,0,0,0",1,40,553.0
553,"0,0,0,0,0,0",1,36,554.0
554,"1,1,1,1,1,1",1,24,555.0
555,"1,1,1,1,1,1",1,24,556.0
556,"2,0,0,0,0,0",1,44,557.0
557,"2,0,0,0,0,0",1,37,558.0
558,"0,1,1,1,1,1",1,37,559.0
559,"0,1,1,1,1,1",1,32,560.0
560,"1,0,0,0,0,0",1,38,561.0
561,"1,0,0,0,0,0",1,44,562.0
562,"2,1,1,1,1,1",1,27,563.0
563,"2,1,1,1,1,1",1,31,564.0
564,"0,0,0,0,0,0",1,37,565.0
565,"0,0,0,0,0,0",1,35,566.0
566,"1,1,1,1,1,1",1,29,567.0
567,"1,1,1,1,1,1",1,27,568.0
568,"2,0,0,0,0,0",1,41,569.0
569,"2,0,0,0,0,0",1,38,570.0
570,"0,1,1,1,1,1",1,17,571.0
571,"0,1,1,1,1,1",1,28,572.0
572,"1,0,0,0,0,0",1,35,573.0
573,"1,0,0,0,0,0",1,39,574.0
574,"2,1,1,1,1,1",1,24,575.0
575,"2,1,1,1,1,1",1,29,576.0
576,"0,0,0,0,0,0",1,37,577.0
577,"0,0,0,0,0,0",1,39,578.0
578,"1,1,1,1,1,1",1,24,579.0
579,"1,1,1,1,1,1",1,30,580.0
580,"2,0,0,0,0,0",1,37,581.0
581,"2,0,0,0,0,0",1,39,582.0
582,"0,1,1,1,1,1",1,22,583.0
583,"0,1,1,1,1,1",1,30,584.0
584,"1,0,0,0,0,0",1,43,585.0
585,"1,0,0,0,0,0",1,40,586.0
586,"2,1,1,1,1,1",1,22,587.0
587,"2,1,1,1,1,1",1,28,588.0
588,"0,0,0,0,0,0",1,43,589.0
589,"0,0,0,0,0,0",1,36,590.0
590,"1,1,1,1,1,1",1,20,591.0
591,"1,1,1,1,1,1",1,34,592.0
592,"2,0,0,0,0,0",1,39,593.0
593,"2,0,0,0,0,0",1,39,594.0
594,"0,1,1,1,1,1",1,27,595.0
595,"0,1,1,1,1,1",1,36,596.0
596,"1,0,0,0,0,0",1,34,597.0
597,"1,0,0,0,0,0",1,41,598.0
598,"2,1,1,1,1,1",1,24,599.0
599,"2,1,1,1,1,1",1,39,600.0
600,"0,0,0,0,0,0",1,38,601.0
601,"0,0,0,0,0,0",1,35,602.0
602,"1,1,1,1,1,1",1,21,603.0
603,"1,1,1,1,1,1",1,38,604.0
604,"2,0,0,0,0,0",1,40,605.0
605,"2,0,0,0,0,0",1,40,606.0
606,"0,1,1,1,1,1",1,36,607.0
