,action,episode,reward,step,time_sec
46,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,1,0,0,1,2,0",1,-1,47.0,235
47,"0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0",1,-4,48.0,240
48,"0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0",1,-5,49.0,245
49,"0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,2,3,0,0,0,0,0,0,1,0,0",1,0,50.0,250
50,"0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0",1,-4,51.0,255
51,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0",1,-4,52.0,260
52,"4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,3,2,0",1,-2,53.0,265
53,"0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1",1,-2,54.0,270
54,"4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,2,0,1,0,0",1,-4,55.0,275
55,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0",1,-1,56.0,280
56,"0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1",1,-3,57.0,285
57,"0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,3,0,0,0,1,0,0,1,0,0",1,-5,58.0,290
58,"4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1",1,-3,59.0,295
59,"0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,2,0",1,-1,60.0,300
60,"0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0",1,-5,61.0,305
61,"0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1",1,-3,62.0,310
62,"4,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,3,0,0,0,0,0,0,2,0,0",1,-4,63.0,315
63,"0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0",1,-3,64.0,320
64,"0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0",1,-4,65.0,325
65,"0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,0,1",1,-1,66.0,330
66,"0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,0",1,-1,67.0,335
67,"0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0",1,-3,68.0,340
68,"0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0",1,-6,69.0,345
69,"3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0",1,-6,70.0,350
70,"0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3,0,0,0,0,0,0,3,2,0",1,-7,71.0,355
71,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,2,2,0",1,-4,72.0,360
72,"0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0",1,-6,73.0,365
73,"0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,3,0,0,0,1,0,0,1,0,0",1,-3,74.0,370
74,"4,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",1,-5,75.0,375
75,"0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,2,0,2,2,1",1,-2,76.0,380
76,"0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,3,0,0,0,1,0,0,1,0,0",1,-5,77.0,385
77,"0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0",1,-6,78.0,390
78,"0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,3,0,0,0,0,0,0,0,2,1",1,-4,79.0,395
79,"3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0",1,-4,80.0,400
80,"4,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0",1,-4,81.0,405
81,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0",1,-6,82.0,410
82,"0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0",1,-8,83.0,415
83,"4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,2,0",1,-5,84.0,420
84,"0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,3,0,1",1,-4,85.0,425
85,"0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,1,0,1",1,-2,86.0,430
86,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1",1,-5,87.0,435
87,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,0,0,0,0,2,0,2,0,0",1,-7,88.0,440
88,"4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1",1,-5,89.0,445
89,"4,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0",1,-5,90.0,450
90,"4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,2,1",1,-8,91.0,455
91,"0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0",1,-3,92.0,460
92,"0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,3,0,0,0,0,2,0,2,0,0",1,-5,93.0,465
93,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1",1,-11,94.0,470
94,"4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,3,0,0,0,1,2,0,1,0,0",1,-4,95.0,475
95,"4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0",1,-9,96.0,480
96,"0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0",1,-11,97.0,485
97,"0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,1,0,0,1,2,1",1,-4,98.0,490
98,"4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1",1,-6,99.0,495
99,"4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0",1,-7,100.0,500
100,"0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,3,0,0,0,0,2,0,1,2,0",1,-9,101.0,505
101,"4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,3,0,1",1,-9,102.0,510
102,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,2,1",1,-5,103.0,515
103,"0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0",1,-5,104.0,520
104,"0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0",1,-3,105.0,525
105,"0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,3,0,0",1,-5,106.0,530
106,"0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0",1,-2,107.0,535
107,"4,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0",1,-7,108.0,540
108,"4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,3,0,0,0,1,0,0,2,0,1",1,-5,109.0,545
109,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,1,2,0",1,-4,110.0,550
110,"0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,2,2,1",1,-8,111.0,555
111,"4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,3,0,0,0,1,2,0,0,0,1",1,-4,112.0,560
112,"4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0",1,-4,113.0,565
113,"0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0",1,-4,114.0,570
114,"4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1",1,-6,115.0,575
115,"4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,3,0,1",1,-4,116.0,580
116,"4,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,1,2,0,2,2,1",1,-5,117.0,585
117,"0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0",1,-4,118.0,590
118,"0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1",1,-4,119.0,595
119,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1",1,-9,120.0,600
120,"4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,1,0,0,1,2,0",1,-4,121.0,605
121,"4,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0",1,-7,122.0,610
122,"4,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,2,3,0,0,0,0,2,0,2,0,0",1,-9,123.0,615
123,"4,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1",1,-6,124.0,620
124,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,2,1",1,-7,125.0,625
125,"0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,2,3,0,0,0,0,0,0,2,0,0",1,-3,126.0,630
126,"0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1",1,-6,127.0,635
127,"0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,4,2,0,0,1,0,0,1,0,0",1,-5,128.0,640
128,"0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,2,3,0,0,0,1,0,0,3,0,0",1,-4,129.0,645
129,"0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0",1,-4,130.0,650
130,"4,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,2,4,2,0,0,0,0,0,3,0,0",1,-4,131.0,655
131,"0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0",1,-7,132.0,660
132,"3,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,3,2,0,0,0,2,0,1,2,0",1,-7,133.0,665
133,"4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,1",1,-3,134.0,670
134,"0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0",1,-3,135.0,675
135,"3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,4,0,0,0,1,0,0,1,0,1",1,-8,136.0,680
136,"4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,3,0,1",1,-7,137.0,685
137,"0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,1,3,0,1",1,-9,138.0,690
138,"0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,2,0",1,-7,139.0,695
139,"3,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,4,2,0,0,0,2,1,3,0,0",1,-6,140.0,700
140,"3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,2,0,1,0,1",1,-6,141.0,705
141,"0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,4,2,0,0,0,0,0,0,2,0",1,-6,142.0,710
142,"0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,4,0,0,0,0,0,0,1,0,0",1,-6,143.0,715
143,"3,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0",1,-9,144.0,720
144,"4,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,4,2,0,0,0,2,0,3,2,1",1,-6,145.0,725
145,"4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,1,0,1",1,-9,146.0,730
146,"0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,2,3,2,0,0,0,3,1,0,2,0",1,-7,147.0,735
147,"0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,2,0,1",1,-7,148.0,740
148,"4,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,3,1,3,5,1",1,-7,149.0,745
149,"3,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,1,2,1",1,-5,150.0,750
150,"4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,1,2,0,2",1,-7,151.0,755
151,"0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1",1,-9,152.0,760
152,"3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,3,0,1,0,0",1,-6,153.0,765
153,"0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,2,4,0,0,0,0,0,0,3,0,1",1,-7,154.0,770
154,"3,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,3,0,2",1,-7,155.0,775
155,"0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,1,1,0,1",1,-5,156.0,780
156,"4,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0",1,-11,157.0,785
157,"0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,2,3,2,0,0,0,0,1,2,2,2",1,-6,158.0,790
158,"3,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,3,0,1,0,1",1,-10,159.0,795
159,"3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,2,3,0,0,0,0,0,0,3,0,1",1,-7,160.0,800
160,"0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,1,1,0,1",1,-6,161.0,805
161,"0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,2,0,0,0,2,0,1,0,1",1,-8,162.0,810
162,"4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,3,0,0",1,-5,163.0,815
163,"3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,4,0,0,0,0,3,1,3,0,0",1,-5,164.0,820
164,"0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,4,2,0,0,0,3,0,1,0,0",1,-6,165.0,825
165,"0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,3,0,1",1,-6,166.0,830
166,"4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,2,0,2,0,0",1,-8,167.0,835
167,"0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4,2,0,0,0,0,0,1,2,0",1,-8,168.0,840
168,"3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0,1,2,1",1,-12,169.0,845
169,"0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,2,0,0,0,0,0,3,0,1",1,-8,170.0,850
170,"4,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,4,2,0,0,0,2,1,1,2,1",1,-9,171.0,855
171,"4,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,3,1,3,0,1",1,-8,172.0,860
172,"4,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,3,0,3,5,2",1,-14,173.0,865
173,"0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,1,1,2,0",1,-3,174.0,870
174,"3,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4,2,0,0,0,0,1,0,0,1",1,-7,175.0,875
175,"3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,1",1,-6,176.0,880
176,"0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3,0,1",1,-9,177.0,885
177,"3,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,2,4,0,0,0,0,0,0,0,0,0",1,-3,178.0,890
178,"4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,2,0,0,0,3,1,0,0,0",1,-1,179.0,895
179,"0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,3,0,1,0,0",1,-5,180.0,900
180,"3,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,3,0,1",1,-7,181.0,905
181,"0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,4,2,0,0,0,3,0,3,0,0",1,-6,182.0,910
182,"4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,3,0,0",1,-4,183.0,915
183,"0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0",1,-4,184.0,920
184,"0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1",1,-4,185.0,925
185,"4,0,1,0,0,0,0,1,1,4,0,0,1,1,0,0,0,2,4,0,0,0,0,0,0,1,0,1",1,-12,186.0,930
186,"0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,2,0,0,0,3,1,1,0,1",1,-11,187.0,935
187,"0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,3,2,1",1,-9,188.0,940
188,"3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,3,2,0,0,0,2,0,2,0,2",1,-12,189.0,945
189,"4,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0",1,-5,190.0,950
190,"0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,1,0,2",1,-6,191.0,955
191,"3,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,2,0,3,0,2",1,-4,192.0,960
192,"0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,2,4,2,0,0,0,0,1,3,0,0",1,-9,193.0,965
193,"0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2,4,0,0,0,0,3,1,1,0,1",1,-17,194.0,970
194,"4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,1,0,0,0,1,2,0,0",1,-15,195.0,975
195,"4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,1,0,0",1,-13,196.0,980
196,"0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1",1,-9,197.0,985
197,"4,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,0,0,1,0,0,3,0,0",1,-11,198.0,990
198,"0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,2,4,0,0,0,0,3,1,3,0,1",1,-15,199.0,995
