,action,episode,reward,step,time_sec
112,"0,2,1,1,0,2,1,2,1,3,1,0,1,1,0,1,1,0,4,2,0,2,1,0,2,1,0,1",1,-10,113.0,565
113,"2,0,1,0,0,2,1,1,1,0,1,0,1,1,0,3,1,1,0,2,0,0,0,2,0,1,5,0",1,-12,114.0,570
114,"0,1,1,0,0,2,1,2,1,2,1,0,1,1,1,1,1,1,4,2,1,0,1,3,2,1,5,1",1,-18,115.0,575
115,"5,3,0,1,0,3,0,1,1,4,0,0,1,1,0,0,0,2,4,1,0,3,0,3,0,3,5,2",1,-14,116.0,580
116,"0,2,1,0,0,3,1,1,1,4,1,0,3,0,1,1,1,0,4,2,0,3,0,2,0,1,5,1",1,-16,117.0,585
117,"4,0,0,1,0,3,1,1,0,1,1,0,1,0,1,0,1,1,5,2,0,0,0,3,0,3,5,1",1,-13,118.0,590
118,"4,0,1,1,0,0,0,0,1,4,0,0,3,1,1,0,0,2,1,2,0,1,0,0,0,0,5,1",1,-7,119.0,595
119,"4,1,0,1,0,0,1,3,0,4,0,0,1,1,0,3,1,0,5,2,0,3,1,2,3,1,5,1",1,-10,120.0,600
120,"0,2,0,0,0,3,1,1,0,0,1,0,3,0,1,2,1,0,0,2,0,3,3,0,2,2,2,1",1,-14,121.0,605
121,"3,1,1,1,0,0,0,0,1,0,1,0,0,1,1,3,1,2,4,2,0,0,2,3,0,1,0,0",1,-7,122.0,610
122,"3,0,1,1,0,2,0,0,1,4,1,0,1,1,1,1,1,0,4,0,0,2,0,2,0,1,2,1",1,-12,123.0,615
123,"4,2,0,1,0,1,1,3,1,3,0,0,0,0,1,3,0,1,1,0,0,0,3,0,0,3,4,1",1,-7,124.0,620
124,"3,3,1,0,0,1,0,1,0,0,0,0,1,1,1,2,0,0,4,2,0,2,0,0,2,2,1,0",1,-10,125.0,625
125,"0,0,0,1,0,1,1,1,0,4,1,0,1,1,0,3,1,1,1,1,0,0,1,3,0,1,2,1",1,-13,126.0,630
126,"4,2,1,0,0,1,0,3,0,4,0,0,3,1,0,1,0,1,0,0,0,0,0,3,1,0,5,1",1,-14,127.0,635
127,"4,0,0,0,0,3,1,0,1,0,1,0,1,1,0,3,0,0,4,2,0,3,1,3,1,2,0,1",1,-7,128.0,640
128,"0,2,0,1,0,3,0,2,0,4,1,0,1,0,1,3,1,0,0,0,0,3,0,0,1,3,4,1",1,-14,129.0,645
129,"2,0,1,1,0,0,0,1,1,4,0,0,0,0,1,0,1,0,4,0,1,2,0,0,3,1,0,0",1,-10,130.0,650
130,"4,3,1,0,0,3,1,0,1,0,1,0,1,1,0,0,1,1,4,1,0,0,2,0,1,1,5,2",1,-14,131.0,655
131,"4,2,1,1,0,2,0,3,1,4,1,0,1,1,0,1,0,1,4,0,1,3,3,2,0,3,0,1",1,-8,132.0,660
132,"0,3,1,1,0,0,1,3,1,0,1,0,0,1,0,0,1,0,4,0,0,3,1,0,2,0,2,1",1,-13,133.0,665
133,"5,0,1,1,0,1,0,1,0,4,1,0,1,1,0,1,0,1,5,1,0,3,2,2,0,3,2,1",1,-13,134.0,670
134,"5,0,0,0,0,3,1,1,0,1,0,0,1,0,0,1,1,1,0,2,0,2,0,0,1,1,5,2",1,-11,135.0,675
135,"0,2,1,1,0,2,1,0,0,1,0,0,1,1,1,1,1,0,3,0,0,0,0,0,0,3,1,1",1,-14,136.0,680
136,"0,2,1,1,0,0,0,1,1,4,0,0,3,1,1,1,1,1,4,0,0,0,2,0,2,2,0,2",1,-16,137.0,685
137,"4,2,0,1,0,2,1,0,1,4,1,0,1,1,1,3,1,1,4,0,0,2,0,2,2,1,4,1",1,-14,138.0,690
138,"0,3,0,1,0,1,1,0,0,0,0,0,3,1,0,3,0,2,2,2,1,3,3,2,0,2,0,1",1,-16,139.0,695
139,"2,1,0,0,0,0,1,1,1,0,0,0,1,1,0,3,1,1,4,0,0,2,2,2,2,1,5,2",1,-18,140.0,700
140,"0,3,0,1,0,2,0,1,0,3,0,0,0,0,0,0,1,1,4,0,0,1,1,1,0,1,0,1",1,-19,141.0,705
141,"4,0,1,1,0,0,0,0,1,0,1,0,0,1,1,3,1,0,4,0,0,0,0,2,0,1,4,0",1,-17,142.0,710
142,"3,2,1,0,0,1,1,2,0,4,0,0,3,0,1,3,0,0,4,0,0,1,1,2,0,0,2,1",1,-23,143.0,715
143,"0,0,0,0,0,3,1,1,0,1,0,0,1,1,1,0,1,0,4,2,0,1,0,3,0,0,0,1",1,-23,144.0,720
144,"4,2,0,1,0,1,1,0,1,4,1,0,1,0,0,2,1,0,4,0,0,2,3,3,0,2,2,0",1,-20,145.0,725
145,"4,1,1,1,0,0,0,2,0,4,0,0,1,0,1,2,0,0,4,0,0,3,1,0,2,3,0,1",1,-21,146.0,730
146,"4,1,1,1,0,1,1,1,0,4,1,0,1,1,0,1,1,1,4,2,1,0,1,3,0,3,0,1",1,-19,147.0,735
147,"4,0,1,1,0,1,1,0,0,4,0,0,0,1,0,2,1,1,4,0,0,3,0,3,2,3,5,1",1,-17,148.0,740
148,"3,2,1,1,0,0,0,0,1,1,0,0,3,1,0,1,0,1,4,0,0,3,1,0,0,2,2,0",1,-17,149.0,745
149,"0,1,1,1,0,3,0,1,1,4,1,0,1,1,1,3,0,0,1,2,0,3,0,2,0,1,1,1",1,-18,150.0,750
150,"4,0,1,1,0,0,1,0,0,4,0,0,1,0,0,2,1,0,4,2,1,3,0,2,2,2,0,1",1,-18,151.0,755
151,"1,3,1,1,0,2,1,1,1,4,1,0,1,1,1,1,0,0,4,0,0,1,0,2,2,1,2,2",1,-20,152.0,760
152,"5,2,1,1,0,3,1,0,0,4,1,0,1,0,1,2,1,1,0,2,0,3,1,0,1,2,0,2",1,-23,153.0,765
153,"3,1,1,1,0,3,0,1,1,4,0,0,3,0,1,1,1,0,4,2,1,2,0,2,2,1,1,1",1,-26,154.0,770
154,"4,3,1,0,0,3,1,0,0,4,1,0,1,1,0,2,1,0,4,1,0,2,0,0,2,0,4,0",1,-25,155.0,775
155,"0,3,1,1,0,2,1,3,0,3,1,0,1,1,1,0,1,0,4,0,0,0,1,3,2,3,0,2",1,-22,156.0,780
156,"3,1,1,0,0,0,1,1,0,4,0,0,1,1,1,3,1,0,2,1,0,1,0,3,1,1,0,1",1,-20,157.0,785
157,"0,3,1,0,0,0,0,1,1,4,1,0,0,1,0,2,1,1,4,0,1,1,0,2,1,2,5,0",1,-23,158.0,790
158,"5,1,0,1,0,1,0,0,1,3,1,0,1,0,1,1,0,0,2,1,0,3,2,0,1,0,2,1",1,-27,159.0,795
159,"4,1,1,1,0,0,0,1,1,0,1,0,1,1,1,2,1,0,4,0,1,0,1,3,0,3,0,1",1,-18,160.0,800
160,"5,0,0,1,0,3,1,1,1,1,1,0,1,1,0,0,0,2,2,2,0,0,1,1,2,0,4,1",1,-26,161.0,805
161,"4,0,0,0,0,3,1,1,0,4,0,0,1,1,1,3,0,1,4,0,0,2,1,2,1,1,4,1",1,-29,162.0,810
162,"1,0,1,0,0,1,0,0,1,4,1,0,1,1,0,1,0,2,0,1,1,2,0,0,0,2,5,1",1,-23,163.0,815
163,"1,3,0,1,0,1,0,2,0,4,0,0,1,1,1,1,1,0,4,2,0,3,0,2,3,3,0,2",1,-16,164.0,820
164,"5,0,1,0,0,0,0,1,1,4,0,0,1,1,0,2,1,0,4,2,0,3,1,0,0,1,4,2",1,-20,165.0,825
165,"0,0,0,0,0,1,1,1,0,4,0,0,1,0,1,1,1,0,4,2,0,1,0,2,0,1,2,1",1,-26,166.0,830
166,"4,0,1,0,0,3,0,1,1,1,1,0,0,1,1,3,0,1,4,2,0,2,0,0,0,1,0,1",1,-23,167.0,835
167,"4,0,1,0,0,0,1,0,1,4,0,0,1,1,1,0,1,1,4,2,0,1,0,0,3,3,1,0",1,-23,168.0,840
168,"0,0,1,1,0,0,1,0,1,4,1,0,0,0,0,2,1,1,2,2,0,0,1,2,2,1,0,0",1,-18,169.0,845
169,"0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,2,0,0,0,1,0,3,2,2,1,3,5,1",1,-18,170.0,850
170,"5,0,1,1,0,3,0,0,0,4,0,0,0,1,0,0,0,1,4,2,1,2,2,2,0,1,5,1",1,-21,171.0,855
171,"4,1,1,1,0,1,1,1,1,4,0,0,1,1,0,0,1,0,0,1,0,2,0,2,2,3,2,0",1,-18,172.0,860
172,"0,1,1,0,0,1,0,1,0,4,1,0,0,1,0,0,1,1,4,2,0,0,0,0,0,2,4,0",1,-15,173.0,865
173,"3,2,1,1,0,0,1,1,1,4,1,0,1,1,1,2,1,1,4,1,1,0,2,3,3,0,4,1",1,-27,174.0,870
174,"0,2,1,1,0,0,1,1,1,3,1,0,0,1,1,3,1,0,4,1,1,1,0,0,0,0,0,0",1,-25,175.0,875
175,"4,3,1,0,0,1,1,0,0,4,0,0,2,0,0,0,0,2,4,1,1,0,1,0,3,1,5,1",1,-25,176.0,880
176,"4,1,0,1,0,1,1,1,0,4,1,0,1,1,0,1,0,0,4,0,0,1,1,2,0,1,5,1",1,-18,177.0,885
177,"0,0,1,1,0,1,0,3,1,4,1,0,1,0,0,3,0,0,5,2,1,3,1,0,0,1,0,0",1,-17,178.0,890
178,"4,0,1,0,0,3,0,1,0,4,1,0,0,1,1,2,1,0,3,0,0,2,0,2,0,2,0,0",1,-14,179.0,895
179,"2,0,1,1,0,0,0,0,0,4,1,0,1,0,0,3,0,0,4,0,1,1,1,3,2,1,3,1",1,-23,180.0,900
180,"0,0,0,1,0,0,1,1,1,4,0,0,0,1,1,3,0,1,4,1,0,0,2,2,2,3,5,0",1,-19,181.0,905
181,"0,3,1,1,0,1,1,3,0,4,1,0,1,1,0,0,1,0,4,2,0,3,1,2,3,1,0,0",1,-17,182.0,910
182,"0,2,1,1,0,1,0,0,0,4,0,0,0,1,0,0,1,0,5,2,0,0,2,0,0,2,3,1",1,-20,183.0,915
183,"4,1,1,1,0,1,1,1,0,4,0,0,1,1,0,1,1,0,2,2,1,1,0,0,0,3,5,2",1,-18,184.0,920
184,"4,0,1,1,0,2,1,1,1,0,0,0,0,1,1,1,1,0,4,2,0,1,3,1,3,1,2,0",1,-18,185.0,925
185,"5,0,1,0,0,1,1,1,0,0,1,0,3,1,1,1,0,0,5,2,0,3,1,0,1,2,0,1",1,-22,186.0,930
186,"0,3,1,0,0,3,1,0,1,0,0,0,1,1,1,2,0,1,5,2,0,2,0,3,0,1,4,2",1,-21,187.0,935
187,"2,2,1,1,0,0,1,0,0,3,1,0,0,1,0,2,0,0,0,2,0,2,0,2,1,0,4,1",1,-26,188.0,940
188,"4,0,1,0,0,3,0,0,1,0,1,0,1,1,0,2,1,0,5,2,0,1,3,2,1,3,5,0",1,-30,189.0,945
189,"3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0,0,3,1,1,1,2,2,0",1,-29,190.0,950
190,"3,3,1,1,0,0,1,3,1,4,1,0,0,1,0,2,1,1,4,0,1,2,0,3,2,1,0,1",1,-28,191.0,955
191,"3,3,0,1,0,0,1,0,1,4,1,0,0,0,1,0,0,1,5,2,1,0,1,0,0,2,2,2",1,-37,192.0,960
192,"5,0,1,1,0,3,1,1,0,4,1,0,0,0,0,1,1,0,4,0,0,3,3,2,0,1,3,2",1,-27,193.0,965
193,"0,0,1,0,0,1,0,1,1,4,1,0,1,0,1,1,1,0,0,0,0,0,2,0,1,1,5,0",1,-30,194.0,970
194,"2,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,4,2,0,2,0,0,0,2,3,1",1,-28,195.0,975
195,"4,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,2,0,0,3,0,2,2,1,5,2",1,-31,196.0,980
196,"0,2,1,1,0,2,0,0,0,4,0,0,0,1,1,1,1,0,4,1,0,0,0,0,0,3,4,1",1,-22,197.0,985
197,"4,1,1,1,0,3,1,1,1,4,0,0,3,1,1,3,0,1,0,1,0,2,1,2,2,3,0,0",1,-24,198.0,990
198,"3,1,1,0,0,1,0,0,0,0,1,0,0,0,1,3,1,0,4,0,1,3,1,2,1,1,2,2",1,-26,199.0,995
