,arrival_sec,depart_sec,duration_sec,episode,id,wait_sec,wait_step
243,1103.00,1010.00,93.00,1,f:3_3.10,16.65,2
244,1106.00,1021.00,85.00,1,f:3_3.11,12.19,0
245,1108.00,1021.00,87.00,1,f:3_2.11,16.44,5
246,1109.00,977.00,132.00,1,f:3_9.7,56.50,39
247,1114.00,810.00,304.00,1,f:2_7.19,217.54,190
248,1116.00,955.00,161.00,1,f:3_1.5,105.19,94
249,1119.00,900.00,219.00,1,f:3_8.0,148.00,139
250,1122.00,999.00,123.00,1,f:3_3.9,50.91,30
251,1124.00,1032.00,92.00,1,f:3_2.12,15.84,0
252,1127.00,1032.00,95.00,1,f:3_3.12,13.77,0
253,1138.00,966.00,172.00,1,f:3_9.6,100.31,74
254,1140.00,988.00,152.00,1,f:3_9.8,77.82,50
255,1140.00,832.00,308.00,1,f:2_7.21,213.18,165
256,1143.00,1044.00,99.00,1,f:3_3.13,19.96,4
257,1144.00,1010.00,134.00,1,f:3_9.10,47.58,22
258,1144.00,876.00,268.00,1,f:2_7.25,110.84,84
259,1146.00,888.00,258.00,1,f:2_2.26,194.14,178
260,1153.00,1032.00,121.00,1,f:3_1.12,58.16,41
261,1155.00,821.00,334.00,1,f:2_7.20,207.36,172
262,1159.00,1066.00,93.00,1,f:3_2.15,20.25,0
263,1159.00,888.00,271.00,1,f:2_3.26,169.65,145
264,1161.00,1021.00,140.00,1,f:3_1.11,34.59,2
265,1162.00,655.00,507.00,1,f:2_7.5,292.44,243
266,1164.00,1055.00,109.00,1,f:3_3.14,16.42,0
267,1166.00,999.00,167.00,1,f:3_9.9,39.13,16
268,1167.00,1021.00,146.00,1,f:3_9.11,88.50,47
269,1169.00,1032.00,137.00,1,f:3_9.12,71.63,53
270,1171.00,1066.00,105.00,1,f:3_3.15,16.53,0
271,1173.00,900.00,273.00,1,f:3_1.0,198.40,177
272,1173.00,843.00,330.00,1,f:2_7.22,186.08,151
273,1174.00,899.00,275.00,1,f:2_1.27,213.42,179
